,name,n_comps,first_comp,last_comp,years_comp,class
0,Abigail ROBINSON,9.0,2018-07-18,2023-08-10,1849 days,WOMEN B2
1,Adam PAYNE,3.0,2014-09-14,2018-09-16,1463 days,MEN NEUROLOGICAL PHYSICAL DISABILITY B
2,Adriana TOFAN,3.0,2022-07-09,2023-08-10,397 days,WOMEN B3
3,Agnes LOPEZ,1.0,2019-07-17,2019-07-17,0 days,WOMEN RP3
4,Aika YOSHIDA,4.0,2014-09-14,2019-07-17,1767 days,WOMEN NEUROLOGICAL PHYSICAL DISABILITY B
5,Albert GUARDIA FERRER,19.0,2016-07-17,2023-08-10,2580 days,MEN AL2
6,Aleksandr UKHATKIN,1.0,2021-09-17,2021-09-17,0 days,MEN AL2
7,Alessandra MAMMI,4.0,2016-06-25,2017-09-24,456 days,WOMEN B2
8,Alessandro NERI,6.0,2018-07-18,2022-06-22,1435 days,MEN RP3
9,Alessio CORNAMUSINI,21.0,2012-09-16,2023-06-24,3933 days,MEN ARTHRITIS+NEUROLOGICAL PD 1
10,Alex DOWNES,2.0,2023-06-13,2023-08-10,58 days,MEN RP1
11,Alexander DORNBUSCH,6.0,2022-05-26,2023-08-10,441 days,MEN RP1
12,Alexandra REDSHAW,1.0,2022-05-26,2022-05-26,0 days,WOMEN AU2
13,Alexandru BENCHEA,5.0,2019-07-17,2023-08-10,1485 days,MEN B1
14,Alexandru Mihai SIMION,1.0,2021-07-15,2021-07-15,0 days,MEN B3
15,Algimantas VALAITIS,2.0,2016-09-18,2018-09-16,728 days,MEN AL2
16,Alina-florina DINUTA,1.0,2022-07-09,2022-07-09,0 days,WOMEN B3
17,Allison WHITE,1.0,2019-07-17,2019-07-17,0 days,WOMEN RP2
18,Amir SABZI,2.0,2018-07-18,2019-07-17,364 days,MEN RP2
19,Amruta WYSSMANN,7.0,2022-05-26,2023-08-10,441 days,WOMEN AU2
20,Amy MULLINS,2.0,2016-09-18,2023-08-10,2517 days,WOMEN RP3
21,Anastasiia KOMAR,1.0,2021-09-17,2021-09-17,0 days,WOMEN RP1
22,Andrea SÁNCHEZ APARICIO,8.0,2021-06-24,2023-08-10,777 days,WOMEN RP1
23,Andreas BAND,6.0,2017-07-09,2019-07-17,738 days,MEN AU1
24,Andreas ENGELHARD,4.0,2014-08-29,2016-07-17,688 days,MEN NEUROLOGICAL PHYSICAL DISABILITY A
25,Andreas SUHNER,3.0,2022-06-22,2023-08-10,414 days,MEN RP3
26,Andrei-serban POPA-FLOREA,2.0,2021-06-24,2021-07-15,21 days,MEN RP2
27,Andrej HARŠÁNY,7.0,2019-07-17,2023-08-10,1485 days,MEN RP3
28,Andrey TIHOMIROV,1.0,2021-09-17,2021-09-17,0 days,MEN AL2
29,András SZIJÁRTÓ,10.0,2012-09-16,2019-07-17,2495 days,MEN ARTHRITIS+NEUROLOGICAL PD 1
30,Angela FALLEGGER,6.0,2022-06-22,2023-08-10,414 days,WOMEN RP2
31,Angelino ZELLER,13.0,2018-09-16,2023-08-10,1789 days,MEN RP1
32,Angelo Sebastian SIMIONESCU,6.0,2021-06-24,2023-06-24,730 days,MEN B1
33,Anita AGGARWAL,8.0,2017-09-24,2023-08-10,2146 days,WOMEN RP2
34,Anita CONSTANTINESCU,1.0,2019-07-17,2019-07-17,0 days,WOMEN RP3
35,Anna DEVRIES,1.0,2023-08-10,2023-08-10,0 days,WOMEN RP2
36,Anna LIPP,1.0,2019-07-17,2019-07-17,0 days,WOMEN AU2
37,Anoushé HUSAIN,2.0,2022-06-22,2023-06-13,356 days,WOMEN AU2
38,Anther FRIGOLA GÓMEZ,4.0,2022-06-22,2023-08-10,414 days,MEN RP2
39,Antonio TREVISANI,1.0,2019-07-17,2019-07-17,0 days,MEN AL1
40,Anzor GURASASHVILI,1.0,2013-09-06,2013-09-06,0 days,MEN B1
41,Araminta MCLENNAN,5.0,2022-06-22,2023-08-10,414 days,WOMEN RP1
42,Ariana PERO,2.0,2021-09-17,2022-07-09,295 days,WOMEN B2
43,Arielle RAUSIN,1.0,2021-09-17,2021-09-17,0 days,WOMEN RP1
44,Artem BONDARENKO,1.0,2021-09-17,2021-09-17,0 days,MEN B1
45,Asel TURDIMURATOVA,1.0,2021-09-17,2021-09-17,0 days,WOMEN RP3
46,Asumi KATO,1.0,2023-08-10,2023-08-10,0 days,WOMEN RP1
47,Atticus MATKIN,2.0,2021-10-11,2023-05-18,584 days,MEN RP2
48,Aurora ALBERTO,3.0,2022-06-22,2023-06-13,356 days,WOMEN RP2
49,Bastien THOMAS,11.0,2018-07-18,2023-08-10,1849 days,MEN RP2
50,Beatriz GANDARA CARNERO,1.0,2023-08-10,2023-08-10,0 days,WOMEN RP2
51,Behnam KHALAJI,8.0,2014-09-14,2021-09-17,2560 days,MEN NEUROLOGICAL PHYSICAL DISABILITY A
52,Benen PARLMER,1.0,2023-08-10,2023-08-10,0 days,MEN AU3
53,Benjamin MAYFORTH,11.0,2018-09-16,2023-08-10,1789 days,MEN RP2
54,Bill CASSON,6.0,2016-09-18,2023-08-10,2517 days,MEN B1
55,Biman BISWAS,2.0,2021-09-17,2023-08-10,692 days,MEN RP2
56,Bonnie DENIS,3.0,2014-09-14,2018-09-16,1463 days,WOMEN AL2
57,Bostian HALAS,11.0,2017-07-09,2023-06-24,2176 days,MEN RP2
58,Brayden BUTLER,6.0,2022-05-26,2023-08-10,441 days,MEN RP2
59,Brian LIEBENOW,2.0,2023-05-18,2023-08-10,84 days,MEN RP1
60,Brian ZARZUELA,8.0,2019-07-17,2023-08-10,1485 days,MEN AU2
61,Brittany Rae DAVIS,3.0,2018-09-16,2022-05-26,1348 days,WOMEN RP2
62,Cail SORIA,3.0,2023-05-18,2023-06-24,37 days,WOMEN AL2
63,Caitlin PEREIRAS,1.0,2018-09-16,2018-09-16,0 days,WOMEN AU2
64,Carlie COOK,5.0,2018-09-16,2023-08-10,1789 days,WOMEN RP2
65,Carlos QUILES,5.0,2018-09-16,2023-08-10,1789 days,MEN RP1
66,Carolin HEBERLE,3.0,2023-06-13,2023-08-10,58 days,WOMEN AU2
67,Caroline WINSTEL,4.0,2021-10-11,2023-05-18,584 days,WOMEN RP2
68,Casper RØNNINGEN,4.0,2022-06-22,2023-06-13,356 days,MEN B3
69,Cesare CUNICO,3.0,2019-07-17,2021-07-15,729 days,MEN RP3
70,Chaz MISURACA,4.0,2022-05-26,2023-08-10,441 days,MEN B3
71,Chelsea COOK,1.0,2018-09-16,2018-09-16,0 days,WOMEN B2
72,Chris OLSEN,1.0,2023-05-18,2023-05-18,0 days,MEN AL2
73,Christian HASELGRUBER,2.0,2016-07-17,2017-07-09,357 days,MEN AL1
74,Christiane LUTTIKHUIZEN,8.0,2021-06-24,2023-08-10,777 days,WOMEN RP3
75,Christoph POHLMANN,4.0,2019-07-17,2023-08-10,1485 days,MEN B2
76,Christoph ZUNDEL,5.0,2022-06-22,2023-08-10,414 days,MEN AL2
77,Colin TORPEY,3.0,2016-09-18,2021-10-11,1849 days,MEN AL2
78,Connor GEAREY,4.0,2021-10-11,2023-08-10,668 days,MEN B3
79,Corey RAMOS,1.0,2023-08-10,2023-08-10,0 days,MEN AL2
80,Corinna WIMMER,10.0,2021-06-24,2023-08-10,777 days,WOMEN AU2
81,Cosmin Florin CANDOI,9.0,2019-07-17,2023-08-10,1485 days,MEN B3
82,Danial AMIRI,2.0,2022-07-09,2023-08-10,397 days,MEN RP3
83,Daniel BAR DAVID,8.0,2013-07-13,2017-09-24,1534 days,MEN ARTHRITIS+NEUROLOGICAL PD 1
84,Daniel KONTSCH,9.0,2018-09-16,2023-08-10,1789 days,MEN RP1
85,Daniel NYGREN,4.0,2019-07-17,2021-09-17,793 days,MEN AU2
86,Daniel WIENER,9.0,2017-07-09,2023-06-24,2176 days,MEN RP3
87,Daniel-bebe-vasilică ANDREI,4.0,2023-05-18,2023-08-10,84 days,MEN B3
88,Daniil LISICHENKO,3.0,2018-09-16,2021-09-17,1097 days,MEN B1
89,Daria MAIUK,1.0,2021-09-17,2021-09-17,0 days,WOMEN RP1
90,Daria MOROZOVA,1.0,2021-09-17,2021-09-17,0 days,WOMEN RP1
91,Dave BOWES,12.0,2014-07-05,2019-07-17,1838 days,MEN NEUROLOGICAL PHYSICAL DISABILITY A
92,David KAMMERER,4.0,2023-05-18,2023-08-10,84 days,MEN AL2
93,Deborah BEVILACQUA,1.0,2021-10-11,2021-10-11,0 days,WOMEN AL2
94,Deborah LUTERNAUER,2.0,2022-06-22,2022-07-09,17 days,WOMEN RP1
95,Denise STYPULKOWSKI,2.0,2021-09-17,2021-10-11,24 days,WOMEN RP2
96,Diego KUSNIR,1.0,2022-05-26,2022-05-26,0 days,MEN B3
97,Dina EIVIK,8.0,2021-06-24,2023-08-10,777 days,WOMEN RP3
98,Dmitrii STIKHIN,1.0,2021-09-17,2021-09-17,0 days,MEN RP1
99,Doris ROHNER,6.0,2022-06-22,2023-08-10,414 days,WOMEN RP1
100,Eddie SPARKS,2.0,2019-07-17,2023-05-18,1401 days,WOMEN B2
101,Edith SCHEINECKER,13.0,2018-07-18,2023-08-10,1849 days,WOMEN B2
102,Eirik Østreng GUDBRANDSEN,1.0,2021-06-24,2021-06-24,0 days,MEN AL2
103,Eleanor RUBIN,2.0,2022-05-26,2023-08-10,441 days,WOMEN AU2
104,Eliana WALLACK,2.0,2018-09-16,2021-10-11,1121 days,WOMEN RP2
105,Elie TOESCA,1.0,2021-07-15,2021-07-15,0 days,MEN RP3
106,Elisa MARTIN,8.0,2021-07-15,2023-06-24,709 days,WOMEN RP3
107,Ellie KNEER,1.0,2023-05-18,2023-05-18,0 days,WOMEN B3
108,Elliott NGUYEN,4.0,2021-10-11,2023-08-10,668 days,MEN RP1
109,Elodie ORBAEN,9.0,2013-07-13,2018-09-16,1891 days,WOMEN ARTHRITIS+NEUROLOGICAL PD
110,Eloi VILA CULLERÉS,8.0,2019-07-17,2023-08-10,1485 days,MEN AU2
111,Emeline LAKROUT,4.0,2022-05-26,2023-08-10,441 days,WOMEN B1
112,Emily GRAY,2.0,2018-09-16,2021-10-11,1121 days,WOMEN AL-2
113,Emily MCDERMOTT,6.0,2019-07-17,2023-06-24,1438 days,WOMEN AU2
114,Emily SEELENFREUND,4.0,2021-10-11,2023-08-10,668 days,WOMEN RP2
115,Emily STEPHENSON,1.0,2018-09-16,2018-09-16,0 days,WOMEN AL-2
116,Eric LIU LIN,1.0,2023-08-10,2023-08-10,0 days,MEN AU3
117,Eris SKENDERI,1.0,2021-10-11,2021-10-11,0 days,MEN B1
118,Erwan LIEVIN,3.0,2022-07-09,2023-08-10,397 days,MEN AU2
119,Esha MEHTA,2.0,2018-09-16,2019-07-17,304 days,WOMEN B2
120,Esme HARTE,6.0,2014-07-05,2016-09-18,806 days,WOMEN AL2
121,Ethan ZILZ,4.0,2022-05-26,2023-08-10,441 days,MEN AL2
122,Eva MOL,8.0,2019-07-17,2023-08-10,1485 days,WOMEN RP2
123,Evgenii SMIRNOV,1.0,2021-09-17,2021-09-17,0 days,MEN AL2
124,Fabrizio CELENTANO,1.0,2016-06-25,2016-06-25,0 days,MEN B1
125,Fedde BENEDICTUS,5.0,2016-09-18,2019-07-17,1032 days,MEN RP1
126,Federico DI FELICE,3.0,2019-07-17,2021-07-15,729 days,MEN RP3
127,Florian SINGER,11.0,2017-07-09,2023-08-10,2223 days,MEN RP1
128,Florin Alin ANA,5.0,2017-07-09,2018-09-16,434 days,MEN B2
129,Francisco Javier AGUILAR AMOEDO,19.0,2016-06-25,2023-08-10,2602 days,MEN B1
130,Frederik LEYS,19.0,2016-07-17,2023-08-10,2580 days,MEN AL2
131,Friederike TAUTZ,2.0,2016-07-17,2017-07-09,357 days,WOMEN RP1
132,Fumiya HAMANOUE,8.0,2018-09-16,2023-08-10,1789 days,MEN B2
133,Gabriele FRÖHLICH,2.0,2014-07-05,2017-07-09,1100 days,WOMEN B2
134,Gabriele SCORSOLINI,5.0,2017-07-09,2019-07-17,738 days,MEN B1
135,Gavin NIX,4.0,2023-05-18,2023-08-10,84 days,MEN AL2
136,Gian Matteo RAMINI,15.0,2017-07-09,2023-08-10,2223 days,MEN RP1
137,Giorgi LIPARTELIANI,1.0,2015-06-28,2015-06-28,0 days,MEN B2
138,Giulia POGGIOLI,7.0,2012-09-16,2016-06-25,1378 days,WOMEN VISUAL IMPAIRMENT
139,Giulio CEVENINI,12.0,2013-09-06,2021-06-24,2848 days,MEN B2
140,Giuseppe LOMAGISTRO,4.0,2019-07-17,2023-06-13,1427 days,MEN AL1
141,Gregor SELAK,12.0,2016-07-17,2021-09-17,1888 days,MEN RP3
142,Guillermo PELEGRÍN GÓMEZ,10.0,2021-06-24,2023-08-10,777 days,MEN B2
143,Günther GRAUSAM,12.0,2011-07-18,2017-09-24,2260 days,MEN AL2
144,Hannah BALDWIN,8.0,2016-09-25,2019-07-17,1025 days,WOMEN RP3
145,Hannah MCFADDEN,7.0,2021-10-11,2023-06-24,621 days,WOMEN AL2
146,Hannah ZOOK,8.0,2021-10-11,2023-08-10,668 days,WOMEN RP2
147,Hanne VADSETH,1.0,2023-06-13,2023-06-13,0 days,WOMEN B3
148,Hans Ewald GRILL,2.0,2017-07-09,2018-09-16,434 days,MEN B2
149,Hassan MIRZAHOSSEINI,5.0,2014-09-14,2019-07-17,1767 days,MEN AL2
150,Helena Grace MILLER,1.0,2022-05-26,2022-05-26,0 days,WOMEN AU2
151,Hideyuki OUCHI,5.0,2018-09-16,2022-07-09,1392 days,MEN RP1
152,Hiromi AOKI,4.0,2014-09-14,2023-08-10,3252 days,WOMEN B2
153,Iben Kongsvik PAULSEN,6.0,2021-06-24,2023-06-13,719 days,WOMEN B3
154,Ignacio MARTINEZ,2.0,2023-05-18,2023-08-10,84 days,MEN RP3
155,Ilgam MAKHMUTOV,2.0,2018-09-16,2021-09-17,1097 days,MEN AU2
156,Iman EDRISI,2.0,2021-07-15,2021-09-17,64 days,MEN RP3
157,Ionela GRECU,7.0,2021-06-24,2023-06-13,719 days,WOMEN B3
158,Isabel BENVENUTI,2.0,2023-05-18,2023-08-10,84 days,WOMEN AU2
159,Isabella WALSH,13.0,2016-07-17,2023-08-10,2580 days,WOMEN AU2
160,Isak RIPMAN,6.0,2021-06-24,2023-08-10,777 days,MEN RP2
161,Ismael Ewan SÁNCHEZ MCILROY,10.0,2016-07-17,2023-06-13,2522 days,MEN AU1
162,Ivon LAWERENZ,4.0,2023-05-18,2023-08-10,84 days,WOMEN B3
163,Iván GERMÁN PASCUAL,12.0,2016-06-25,2022-07-09,2205 days,MEN AL2
164,Iván MUÑOZ ESCOLAR,6.0,2022-06-22,2023-08-10,414 days,MEN RP2
165,Jacqueline FRITZ,9.0,2018-09-16,2022-07-09,1392 days,WOMEN AL-2
166,Jadwiga GĄSIENICA-CHMIEL,1.0,2023-06-13,2023-06-13,0 days,WOMEN RP3
167,Jake SANCHEZ,4.0,2018-09-16,2021-10-11,1121 days,MEN AL2
168,James FOUNTAIN,2.0,2022-05-26,2022-07-09,44 days,MEN RP2
169,James RUDGE,7.0,2019-07-17,2023-08-10,1485 days,MEN AU2
170,James SCHERI,2.0,2016-09-18,2016-09-25,7 days,MEN AL2
171,Jamie BARENDRECHT,6.0,2021-06-24,2023-08-10,777 days,MEN RP3
172,Jana FÜHRER,1.0,2022-06-22,2022-06-22,0 days,WOMEN B3
173,Jared LENAHAN,6.0,2018-09-16,2022-07-09,1392 days,MEN RP2
174,Jasmin PLANK,16.0,2017-07-09,2023-08-10,2223 days,WOMEN RP3
175,Jasmine RASKAS,2.0,2016-09-18,2018-09-16,728 days,WOMEN RP3
176,Jeremy RITCHIE,5.0,2021-10-11,2023-06-24,621 days,MEN AL2
177,Jesse DUFTON,6.0,2018-07-18,2023-08-10,1849 days,MEN B1
178,Jessica SPORTE,3.0,2016-09-18,2019-07-17,1032 days,WOMEN AL-2
179,Jessie BAYIARTAKIS,1.0,2023-08-10,2023-08-10,0 days,WOMEN AL2
180,Jillian BUKOSKI,2.0,2016-09-18,2018-09-16,728 days,WOMEN RP3
181,Jillian YATSKO,1.0,2017-09-24,2017-09-24,0 days,WOMEN RP3
182,Joanna NEWTON,8.0,2018-07-18,2023-08-10,1849 days,WOMEN RP3
183,Joanna WATERTON,4.0,2016-09-25,2017-10-08,378 days,WOMEN AL-2
184,John CHURCHER,15.0,2013-09-22,2018-09-16,1820 days,MEN B2
185,John FREELAND,1.0,2022-05-26,2022-05-26,0 days,MEN AL2
186,Jonathan SHIELDS,2.0,2023-06-13,2023-08-10,58 days,MEN AL2
187,Jorge MACIAS,2.0,2022-05-26,2023-08-10,441 days,MEN AL1
188,Josh SENIOR,7.0,2017-07-09,2019-07-17,738 days,MEN AL2
189,Joshua UNTERMAN,1.0,2021-10-11,2021-10-11,0 days,MEN RP1
190,Juan Antonio BELLIDO RAMOS,8.0,2012-09-16,2016-09-18,1463 days,MEN ARTHRITIS+NEUROLOGICAL PD 1
191,Juan Pipo GIL BLANCO,12.0,2013-07-13,2018-09-16,1891 days,MEN ARTHRITIS+NEUROLOGICAL PD 1
192,Julien GASC,13.0,2016-06-25,2023-08-10,2602 days,MEN AL2
193,Justen PROCTOR,4.0,2019-07-17,2022-06-22,1071 days,MEN B1
194,Justin SALAS,4.0,2017-09-24,2023-05-18,2062 days,MEN B2
195,Júlia CASTELLÓ FARRÉ,1.0,2023-08-10,2023-08-10,0 days,WOMEN RP1
196,Kai JOHNSON,1.0,2019-07-17,2019-07-17,0 days,MEN RP2
197,Kaitlin HEATHERLY,2.0,2018-09-16,2019-07-17,304 days,WOMEN AU2
198,Kara PARKER,1.0,2023-08-10,2023-08-10,0 days,WOMEN AL2
199,Kate SAWFORD,4.0,2014-09-14,2018-09-16,1463 days,WOMEN AL2
200,Katharina RITT,3.0,2021-06-24,2021-10-11,109 days,WOMEN RP3
201,Katie COMBALUZIER,1.0,2023-05-18,2023-05-18,0 days,WOMEN RP1
202,Kazuhiro MINOWADA,5.0,2014-09-14,2023-08-10,3252 days,MEN B3
203,Keith LYNCH,3.0,2017-07-09,2017-10-08,91 days,MEN AL2
204,Keith WARRICK,2.0,2018-09-16,2019-07-17,304 days,MEN RP2
205,Kenzhegul SEITZHAN,2.0,2016-09-18,2019-07-17,1032 days,MEN B2
206,Kevin BARTKE,13.0,2017-07-09,2023-08-10,2223 days,MEN AU2
