,name,date,WOMEN B2,WOMEN B3,MEN RP1,MEN NEUROLOGICAL PHYSICAL DISABILITY B,WOMEN RP3,WOMEN NEUROLOGICAL PHYSICAL DISABILITY B,MEN AL2,MEN RP3,MEN RP2,MEN ARTHRITIS+NEUROLOGICAL PD 2,MEN ARTHRITIS+NEUROLOGICAL PD 1,WOMEN AU2,MEN B1,MEN B3,WOMEN RP2,WOMEN RP1,MEN AU2,MEN AU1,MEN NEUROLOGICAL PHYSICAL DISABILITY A,MEN AL1,MEN AU3,WOMEN AL-2,WOMEN AL2,MEN B2,WOMEN NEUROLOGICAL PHYSICAL DISABILITY A,WOMEN ARTHRITIS+NEUROLOGICAL PD,WOMEN B1,WOMEN AU3,WOMEN VISUAL IMPAIRMENT,WOMEN PHYSICAL DISABILITY,WOMEN AU1
0,IFSC Paraclimbing World Championship LEAD - Arco (ITA) 2011,2011-07-18T00:00:00.000000000,0,0,0,0,0,0,2,0,0,0,0,1,2,1,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0
1,IFSC Paraclimbing World Championship - Paris (FRA) 2012,2012-09-16T00:00:00.000000000,0,0,0,0,0,0,5,0,0,0,11,0,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,1,0
2,European Paraclimbing Lead Championship - Chamonix (FRA) 2013,2013-07-13T00:00:00.000000000,2,0,0,0,0,0,3,0,0,3,5,0,2,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
3,Paraclimbing Cup Arco 2013 - Arco (ITA) 2013,2013-09-06T00:00:00.000000000,4,0,0,2,0,0,2,0,0,0,0,0,3,0,0,0,0,0,4,1,0,0,0,2,2,0,0,0,0,0,0
4,Paraclimbing Cup London (Lead) 2013 - London (GBR) 2013,2013-09-22T00:00:00.000000000,0,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,2,1,0,0,0,0,0,0
5,Paraclimbing Cup Imst (Lead) 2014 - Imst (AUT) 2014,2014-07-05T00:00:00.000000000,3,0,0,4,0,0,2,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,1,2,1,0,0,0,0,0,0
6,Paraclimbing Cup Arco 2014 - Arco (ITA) 2014,2014-08-29T00:00:00.000000000,2,1,0,2,0,0,3,0,0,0,0,2,1,0,0,0,0,0,4,1,0,0,1,2,2,0,0,0,0,0,0
7,IFSC Paraclimbing World Masters - Gijon (ESP) 2014,2014-09-14T00:00:00.000000000,0,1,0,0,0,1,0,0,0,0,0,3,0,2,0,0,1,0,0,1,0,0,0,3,0,0,0,0,0,0,0
8,IFSC Paraclimbing World Championship - Gijon (ESP) 2014,2014-09-14T00:00:00.000000000,4,0,0,5,0,0,8,0,0,0,0,0,5,0,0,0,0,0,8,0,0,0,3,0,5,0,0,0,0,0,0
9,Paraclimbing Cup Sheffield (Lead) 2014 - Sheffield (GBR) 2014,2014-10-05T00:00:00.000000000,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,3,0,0,0,1,2,1,0,0,0,0,0,0
10,Paraclimbing Cup (L) - Imst (AUT) 2015,2015-06-28T00:00:00.000000000,1,0,0,4,0,0,5,0,0,0,0,3,1,1,0,0,0,0,7,1,0,0,0,3,1,0,0,0,0,0,0
11,Paraclimbing Cup (L) - Chamonix (FRA) 2015,2015-07-11T00:00:00.000000000,3,0,0,5,0,0,4,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,6,4,0,0,0,0,0,0
12,Paraclimbing Cup (L) - Sheffield (GBR) 2015,2015-10-04T00:00:00.000000000,0,0,0,4,0,1,2,0,0,0,0,4,0,1,0,0,1,0,5,0,0,0,1,4,1,0,0,0,0,0,0
13,Paraclimbing Cup (L) - Campitello di Fassa (ITA) 2016,2016-06-25T00:00:00.000000000,4,0,0,0,0,0,6,0,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,Paraclimbing Master (L) - Imst (AUT) 2016,2016-07-17T00:00:00.000000000,1,0,2,0,1,0,8,4,4,0,0,3,1,0,0,1,4,1,0,1,0,0,0,2,0,0,0,0,0,0,1
15,IFSC Paraclimbing World Championships - Paris (FRA) 2016,2016-09-18T00:00:00.000000000,0,0,4,0,9,0,15,9,8,0,0,6,7,0,0,0,0,0,0,0,0,5,0,7,0,0,0,0,0,0,0
16,Paraclimbing Cup (L) - Sheffield (GBR) 2016,2016-09-25T00:00:00.000000000,0,0,0,0,1,0,5,1,0,0,0,1,1,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0
17,Paraclimbing Master (L) - Imst (AUT) 2017,2017-07-09T00:00:00.000000000,2,2,6,0,2,0,12,6,4,0,0,2,2,0,2,2,1,1,0,2,0,1,0,7,0,0,0,0,0,0,0
18,Paraclimbing Cup (L) - Briançon (FRA) 2017,2017-07-26T00:00:00.000000000,0,5,7,0,0,0,14,8,5,0,0,0,0,0,3,0,3,0,0,0,0,0,0,10,0,0,0,0,0,0,0
19,Paraclimbing Cup (L) - Edinburgh (GBR) 2017,2017-09-24T00:00:00.000000000,0,5,5,0,5,0,12,7,6,0,0,0,0,0,7,0,3,0,0,0,0,0,0,8,0,0,0,0,0,0,0
20,Paraclimbing Cup (L) - Sheffield (GBR) 2017,2017-10-08T00:00:00.000000000,3,0,5,0,3,0,7,5,5,0,0,0,0,0,5,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0
21,Paraclimbing Cup (L) - Briançon (FRA) 2018,2018-07-18T00:00:00.000000000,5,0,6,0,4,0,7,4,8,0,0,0,5,0,7,0,4,0,0,0,0,0,0,6,0,0,0,0,0,0,0
22,IFSC Paraclimbing World Championships - Innsbruck (AUT) 2018,2018-09-16T00:00:00.000000000,9,0,14,0,7,0,13,10,15,0,0,8,11,0,12,0,9,0,0,0,0,9,0,10,0,0,0,0,0,0,0
23,IFSC Paraclimbing World Championships - Briançon (FRA) 2019,2019-07-17T00:00:00.000000000,9,0,11,0,6,0,16,16,14,0,0,9,9,4,15,0,14,0,0,7,0,6,0,9,0,0,0,0,0,0,0
24,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2021,2021-06-24T00:00:00.000000000,0,6,11,0,9,0,11,10,11,0,0,4,4,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0
25,IFSC - Paraclimbing World Cup (L) - Briançon (FRA) 2021,2021-07-15T00:00:00.000000000,0,7,8,0,6,0,7,11,12,0,0,0,0,9,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,IFSC - Paraclimbing World Championships (L) - Moscow 2021,2021-09-17T00:00:00.000000000,7,4,11,0,12,0,14,10,9,0,0,0,10,5,8,9,8,0,0,0,0,0,0,7,0,0,0,0,0,0,0
27,IFSC - Paraclimbing World Cup (L) - Los Angeles (USA) 2021,2021-10-11T00:00:00.000000000,0,3,8,0,3,0,6,3,7,0,0,4,6,2,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0
28,IFSC - Paraclimbing World Cup (L) - Salt Lake City (USA) 2022,2022-05-26T00:00:00.000000000,0,0,8,0,14,0,9,4,10,0,0,7,5,4,0,8,0,0,0,5,0,0,5,4,0,0,4,0,0,0,0
29,IFSC - Paraclimbing World Cup (L) - Innsbruck (AUT) 2022,2022-06-22T00:00:00.000000000,0,7,7,0,14,0,11,7,14,0,0,7,0,3,4,9,6,4,0,6,0,0,8,8,0,0,0,0,0,0,0
30,IFSC - Paraclimbing World Cup (L) - Villars (SUI) 2022,2022-07-09T00:00:00.000000000,6,7,5,0,13,0,11,6,10,0,0,4,5,6,0,9,6,0,0,5,0,0,8,4,0,0,0,0,0,0,0
31,IFSC Paraclimbing World Cup Salt Lake City 2023,2023-05-18T00:00:00.000000000,0,10,10,0,6,0,10,5,9,0,0,4,5,13,4,8,0,0,0,5,0,0,9,0,0,0,0,0,0,0,0
32,IFSC Paraclimbing World Cup Innsbruck 2023,2023-06-13T00:00:00.000000000,0,10,14,0,8,0,16,7,12,0,0,9,4,4,5,11,7,0,0,6,2,0,7,5,0,0,0,4,0,0,0
33,IFSC Paraclimbing World Cup Villars 2023,2023-06-24T00:00:00.000000000,0,8,13,0,9,0,14,7,12,0,0,7,4,3,0,10,5,0,0,0,3,0,6,4,0,0,0,0,0,0,0
34,IFSC Paraclimbing World Championships Bern 2023,2023-08-10T00:00:00.000000000,11,5,16,0,11,0,18,9,10,0,0,11,6,8,6,14,8,0,0,9,10,0,10,7,0,0,0,0,0,0,0
